Category,Message
kitchen,We want to thank you so much for the wonderful wedding gift! We love having the GIFT in our kitchen. It really means a lot having your support!
games,We want to thank you so much for the fun wedding gift! We love the GIFT that you gifted us. We will have fun playing it!
bedroom,We want to thank you so much for the wonderful wedding gift! We love having the GIFT in our bedroom It really means a lot having your support!
bathroom,We want to thank you so much for the awesome wedding gift! We love having the GIFT in our bathroom. It's such a necessity!
house,We want to thank you so much for the wonderful wedding gift! We love having the GIFT in our apartment. It really means a lot having your support!
art,We want to thank you so much for the beautiful wedding gift! We love having the GIFT in our apartment. It really means a lot having your support!
camping,We want to thank you so much for the awesome wedding gift! It's been so nice having GIFT when we go camping. We appreciate your love and support!
coming,We want to thank you so much for coming to our wedding! We loved having you there with us. We appreciate your love and support! We'll have to visit soon!
gift card,"We want to thank you so much for your gift at our wedding! We really appreciate the GIFT, it really helped us get started!"
money,We want to thank you so much for your gift at our wedding! We really appreciate the financial support as we start out this time of our lives!
date night,We want to thank you so much for the awesome wedding gift! We love the GIFT you gave us. It's really helped with date night!
flowers,We want to thank you so much for the beautiful florals you provided for our special day. We loved them! We deeply appreciate you and all you did to make our day a dream come true!
general,We also want to thank you so much for the wonderful wedding gift! We love the GIFT you gifted us. We appreciate your love and support!